0.4 41.32 54.98 37.35 54.98 39.53 0.74 7.19 238 0.73 1010.7
0.43 33.7 52.6 31.03 52.6 29.52 0.67 1.06 202 0.27 1022.58
0.46 30.34 47.28 28.49 46.52 31.17 0.72 0.93 101 0.76 1023.61
0.49 38.83 43.86 29.38 37.04 26.12 0.55 13.52 34 0.77 1025.73
0.52 34.63 44.67 27.3 37.77 24 0.54 11.95 30 0.35 1032.07
0.55 31.47 47.3 24.95 42.32 23 0.55 7.32 50 0.22 1034.14
0.58 25.72 47.71 21.24 43.01 24.41 0.61 5.22 73 0.21 1032.2
0.61 29.28 46.62 25.94 42.8 27.61 0.67 2.96 77 0.42 1029.59
0.64 28.23 53.14 28.23 53.14 28.74 0.66 1.2 147 0.2 1026.56
0.68 31.2 52.23 28.53 52.23 31.52 0.73 1.9 324 0.54 1021.42
0.71 33.57 45.76 30.2 40.66 26.93 0.57 6.75 19 0.73 1022.97
0.75 38.12 45.52 35.82 43.25 29.35 0.62 3.72 30 0.77 1021.01
0.78 37.27 46.76 33.97 46.76 33.05 0.73 1.11 77 0.76 1023.2
0.82 37.08 51.8 34.54 51.8 34.64 0.72 4.01 65 0.57 1028.55
0.85 35.26 53.72 35.26 53.72 37.64 0.75 3.01 66 0.64 1030.8
0.89 36.51 53.79 36.18 53.79 35.21 0.68 4.82 49 0.53 1030.08
0.93 34.23 56.87 33.1 56.87 29.99 0.6 2.01 77 0.26 1025.86
0.97 34.58 54.76 34.58 54.76 28.84 0.58 2.05 83 0.22 1024.56
0.01 30.03 54.42 30.03 54.42 28.99 0.62 1.17 149 0.16 1024.8
0.04 30.88 60.33 29.25 60.33 29.87 0.58 7.65 241 0.12 1017.97
0.08 42.35 57.42 37.24 57.42 35.32 0.6 2.44 326 0.56 1016.72
0.12 40.17 54.28 36.17 54.28 32.71 0.6 5 63 0.44 1018.78
0.15 33.78 59.93 33.78 59.93 36.22 0.68 3 206 0.38 1014.11
0.19 38.74 54.01 35.85 54.01 42.05 0.84 3.41 72 0.71 1008.38
0.22 46.65 65.23 45.49 65.23 47.57 0.81 1.11 151 0.58 1007.12
0.25 45.7 51.31 42.77 51.31 42.77 0.84 2.93 358 0.73 1010.1
0.29 37.95 55.28 37.95 55.28 30.81 0.53 5.44 26 0.4 1016.95
0.32 32.34 59.96 28.5 59.96 31.39 0.57 3.53 218 0.51 1012.49
0.35 46.56 63.72 43.22 63.72 38.74 0.58 6.23 245 0.66 1002.9
0.38 40.82 64.73 37.13 64.73 41.42 0.68 6.28 230 0.5 1007.14
0.41 37.97 52.98 37.97 52.98 37.23 0.68 0.53 359 0.46 1011.91
0.44 30.41 56.6 27.53 56.6 29.77 0.62 5.01 252 0.48 1014.48
0.47 32.87 52.21 32.87 52.21 25.07 0.52 0.67 335 0.25 1019.02
0.5 34.63 46.99 32.12 46.99 32.29 0.73 0.5 280 0.78 1014.44
0.53 38.45 48.23 32.84 43.22 29.29 0.61 10.99 32 0.77 1014.97
0.56 35.68 47.44 28.65 42.23 23.55 0.5 9.48 21 0.4 1020.54
0.59 35.36 47.58 27.62 40.86 25.25 0.54 9.77 15 0.55 1027.91
0.62 34.11 51.37 30.35 51.37 30.1 0.61 2.37 339 0.69 1028.14
0.66 40.38 57.23 40.09 57.23 37.15 0.67 3.04 44 0.58 1030.62
0.69 34.76 66.38 33.76 66.38 36.62 0.63 2.29 192 0.29 1026.81
0.73 46.06 69.9 41.81 69.9 37.92 0.51 8.38 245 0.34 1022.33
0.76 49.14 69.15 49.14 69.15 42.3 0.57 0.57 270 0.44 1027.75
0.8 43.42 74.49 41.31 74.49 41.18 0.55 1.84 250 0.37 1025.53
0.84 48.59 61.5 46.83 61.5 36.59 0.5 3.74 77 0.52 1027.12
0.88 41.99 74.8 41.99 74.8 40.04 0.55 3.38 230 0.28 1021.59
0.91 48.47 77.96 45.23 77.96 39.76 0.44 8.19 243 0.43 1015.31
0.95 53.66 63.29 53.66 63.29 44.14 0.58 10.48 249 0.72 1012.99
0.99 38.39 53.45 38.39 53.45 41.21 0.86 1.34 358 0.86 1018.57
0.03 32.29 52.89 32.29 52.89 32.39 0.69 0.35 216 0.37 1022.98
0.06 33.37 63.24 31.01 63.24 33.91 0.6 0.95 268 0.22 1020.25
0.1 41.99 66.99 40.15 66.99 38.09 0.56 0.45 70 0.27 1022.1
0.13 42.62 71.64 42.62 71.64 37.76 0.52 1.48 150 0.33 1021.36
0.17 46.02 71.12 46.02 71.12 37.46 0.46 1.84 176 0.49 1016.53
0.2 48.15 64.36 48.15 64.36 45.28 0.69 1.71 222 0.54 1016.3
0.23 42.48 70.2 38.73 70.2 45.09 0.68 6.32 233 0.33 1015.55
0.26 51.89 71 51.89 71 46.68 0.6 7.89 246 0.35 1011.67
0.29 51.25 70.91 51.25 70.91 48.14 0.65 4.9 233 0.56 1007.89
0.32 51.38 62.55 51.38 62.55 50.58 0.82 0.68 15 0.74 1005.09
0.35 45.71 61.12 45.71 61.12 38.52 0.59 1.01 100 0.49 1019.2
0.38 40.3 63.25 40.3 63.25 40.08 0.65 1.91 203 0.51 1017.15
0.41 43.38 62.56 40.7 62.56 44.28 0.7 7.48 229 0.67 1012.29
0.44 52.56 71.25 52.56 71.25 51.88 0.76 2.43 257 0.6 1009.12
0.47 53.75 71.11 53.75 71.11 52.37 0.74 2.71 216 0.82 1012.9
0.51 54.52 74.48 54.52 74.48 53.56 0.68 6.5 241 0.6 1013.12
0.54 55.64 78.98 55.64 78.98 53.86 0.62 7.96 240 0.62 1011.73
0.57 60.3 83.57 60.3 82.88 53.4 0.56 2.93 242 0.54 1010.78
0.61 55.1 73.49 55.1 73.49 45.98 0.54 2.69 84 0.34 1017.57
